c	Mes	Año	Departamento	Municipio	Lugar de Ocurrencia	Tipo de Hecho	Tipo de Bien	Tipo de Implicado (1)	Tipo de Implicado	Víctimas Fatales	Lesionados	Fuente																	
22	1	1992	Cesar	Tamalameque	Caserío Las Palmas	Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
23	1	1992	Nariño	La Cruz	Cabecera Municipal	Acciones Bélicas-Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla No Identificada																				
24	1	1992	Santander	Barrancabermeja	Tienda Nueva	Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
25	1	1992	Antioquia	El Bagre	El Real	Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
26	1	1992	Santander	Sabana de Torres		Sabotaje	Infraestructura Víal	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
26	1	1992	Santander	San Vicente de Chucurí	Inspección Departmental La Fortuna de Lizama	Sabotaje	Infraestructura Víal	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
31	1	1992	Santander	Barrancabermeja		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
2	2	1992	Antioquia	El Bagre	Vereda El Real	Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #1																	
6	2	1992	Nariño	Ipiales	El Amarillo	Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #1																	
9	2	1992	Cesar	Pelaya		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
10	2	1992	Cesar	Pelaya		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
11	2	1992	Santander	Barrancabermeja		Quema de Vehículos	Medios de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
11	2	1992	Santander	Barrancabermeja		Quema de Vehículos	Medios de Transporte	Guerrilla	Guerrilla No Identificada			Justicia y Paz Vol 5 #1																	
11	2	1992	Nariño			Sabotaje	Infraestructura de Comunicaciones	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
12	2	1992	Chocó	Juradó	Cabecera Municipal	Acciones Bélicas-Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-FARC																				
13	2	1992	Cesar	El Copey		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
16	2	1992	Caquetá	San Vicente del Caguán		Asesinato Selectivo		Fuerza Pública	Ejército Nacional			 Boletín Justicia y Paz Vol. 5 No 1 Pp. 47 																	
19	2	1992	Antioquia	Yalí	Cabecera Municipal  	Acciones Bélicas-Ataque a Instituciones	Lugares de Culto/Entidades Públicas	Guerrilla	Guerrilla-FARC			Boletin Informativo Justicia y Paz. Volumen 5, No 1. Enero- Marzo 1992. Pp 56																	
27	2	1992	Antioquia	Medellín	Cabecera Municipal	Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-FARC		1	Boletín Informativo Justicia y Paz. Volumen 5, #1. Pp. 64																	
1	3	1992	Atlántico	Palo Nuevo	Cabecera Municipal	Sabotaje	Infraestructura Aeroporturaria	Guerrilla	Guerrilla No Identificada			Boletín Informativo Justicia y Paz. Volumen 5, #1. PP. 91																	
2	3	1992	Cesar	Gonzalez	Cabecera Municipal	Acciones Bélicas-Ataque a Instituciones	Entidades Públicas/Vivienda	Guerrilla	Guerrilla-CGSB																				
2	3	1992	Santander	Barrancabermeja	IP El Llanito	Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
2	3	1992	Antioquia	Medellín	Cabecera Municipal	Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 No 1 Pp. 91																	
5	3	1992	Santander	Suratá	IP Cacharí	Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #1																	
7	3	1992	Valle del Cauca	Cali	Km 7	Sabotaje	Infraestructura de Comunicaciones	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #1																	
8	3	1992	Arauca	Saravena		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #1																	
8	3	1992	Boyacá	Miraflores		Sabotaje	Material Electoral	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #1																	
8	3	1992	Boyacá	Miraflores		Sabotaje	Material Electoral	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #1																	
8	3	1992	Valle del Cauca	Jamundí		Sabotaje	Material Electoral	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #1																	
8	3	1992	Valle del Cauca	Jamundí		Sabotaje	Material Electoral	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #1																	
9	3	1992	Arauca	Arauquita		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #1																	
9	3	1992	Cesar	El Copey		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #1																	
12	3	1992	Casanare	Trinidad		Masacre	Vivienda Urbana	Grupo Armado No Identificado	Grupo Armado No Identificado			Boletín Justicia y Paz Vol. 5 No 1 Pp. 78																	
13	3	1992	Cesar	La Jagua de Ibirico		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #1																	
13	3	1992	Cesar	Pailitas		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #1																	
15	3	1992	Santander	Curiti	Zona Rural	Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #1																	
18	3	1992	Cesar	Agustín Codazzi		Quema de Vehículos	Medios de Transporte	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #1																	
21	3	1992	Santander			Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #1																	
22	3	1992	Sucre	Los Palmitos		Quema de Vehículos	Medios de Transporte	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #1																	
24	3	1992	Cundinamarca		Zona Rural	Sabotaje	Infraestructura Víal	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #1																	
25	3	1992	Bolívar	Cartagena	Cabecera Municipal	Ataque a Propiedad	Establecimiento comercial	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 No 1 Pp. 95																	
25	3	1992	Quindio	Calarcá		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #1																	
27	3	1992	Distrito Capital	Bogotá D.C.	Cabecera Municipal	Atentado Terrorista		Guerrilla	Guerrilla-ELN	1		Justicia y Paz Vol 5 No 1 Pp. 95																	
29	3	1992	Valle del Cauca	Cali	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #1																	
29	3	1992	Valle del Cauca	Cali	Cerro Tres Cruces	Sabotaje	Infraestructura de Comunicaciones	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #1																	
30	3	1992	Antioquia	Medellín	Cabecera Municipal	Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-CGSB			Boletín Justicia y Paz Vol 5 No 1 Pp. 96																	
30	3	1992	Antioquia	Medellín	Cabecera Municipal	Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-CGSB			Boletín Justicia y Paz Vol 5 No 1 Pp. 96																	
31	3	1992	Caldas	La Dorada	Río Magdalena	Asesinato Selectivo		Grupos Paramilitares	Grupos Paramilitares			 Boletín Justicia y Paz Vol. 5 No 1 Pp. 77 																	
31	3	1992	Cundinamarca	Puerto Salgar	Islote del Río Magdalena	Asesinato Selectivo		Grupos Paramilitares	Grupos Paramilitares			 Boletín Justicia y Paz Vol. 5 No 1 Pp. 76 																	
1	4	1992	Valle del Cauca	Andalucía	Vereda Tamboral	Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
7	4	1992	Santander	Barrancabermeja		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #2																	
7	4	1992	Bolívar	Cartagena	Cabecera Municipal	Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-FARC	 	1	Boletin Justicia y Paz Vol. 5 No 2 Pp. 39																	
8	4	1992	Antioquia	Segovia	Sitio La Montanita	Acciones Bélicas		Guerrilla	Guerrilla-CGSB			Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 29																	
12	4	1992	Huila	Gigante	IP Silvania	Acciones Bélicas 	Institución Educativa	Guerrilla	Guerrilla-CGSB																				
13	4	1992	Norte de Santander	Sardinata	Vía Sardinata  Ocana	Acciones Bélicas		Guerrilla-Fuerza Pública	Policía Nacional-ELN			Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 30																	
13	4	1992	Antioquia	El Bagre		Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado	 		Justicia y Paz Vol 5 #2																	
18	4	1992	Boyacá	El Cocuy	Cabecera Municipal	Acciones Bélicas-Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-ELN																				
18	4	1992	Nariño	Piedra Ancha		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
20	4	1992	Cesar	El Copey	Corregimiento de Caracolillo	Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
25	4	1992	Magdalena	Fundación	Corregimiento Santa Rosa de Lima	Masacre	Medios de Transporte	Grupos Paramilitares	Grupos Paramilitares			Boletín Justicia y Paz Vol. 5 No 2 Pp.20 Versión Libre ante Justicia y Paz Adán Rojas Mendoza -alias "El Negro"- 19 de Noviembre de 2008. Versión libre Adán Rojas Ospina, alias "Carrancho", el 12 de Febrero de 2009																	
28	4	1992	Santander	Barrancabermeja		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
2	5	1992	Antioquia	Medellín	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 No 2 Pp. 73																	
3	5	1992	Valle del Cauca	Florida		Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
4	5	1992	Antioquia	San Luis		Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
7	5	1992	Santander	Bucaramanga		Sabotaje	Infraestructura de Comunicaciones	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
9	5	1992	Antioquia	Medellín	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 No 2 Pp. 74																	
14	5	1992	Antioquia	Remedios		Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
14	5	1992	Sucre	Sincelejo		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla No Identificada			Justicia y Paz Vol 5 #2																	
15	5	1992	Cesar	Chimichagua	Corregimiento de Saloa	Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
15	5	1992	Santander	Barrancabermeja		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
15	5	1992	Santander	Bucaramanga	Zona Rural	Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
16	5	1992	Atlántico	Barranquilla	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-CGSB		3	Justicia y Paz Vol 5 #2																	
16	5	1992	Atlántico	Barranquilla	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-CGSB	 	1	Justicia y Paz Vol 5 #2																	
16	5	1992	Santander	Bucaramanga	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
16	5	1992	Cesar	Pailitas		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
16	5	1992	Norte de Santander	Tibú		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
16	5	1992	Norte de Santander	Cúcuta	Cabecera Municipal	Ataque a Propiedad	Establecimiento comercial	Guerrilla	Guerrilla-CGSB		1	Boletín Justicia y Paz Vol 5 No 2 Pp. 75																	
16	5	1992	Antioquia	Cisneros	Cabecera Municipal	Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-CGSB			Boletín Justicia y Paz Vol 5 No 2 Pp. 75																	
17	5	1992	Santander	Bucaramanga	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
17	5	1992	Santander	Málaga	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
18	5	1992	Cesar	Curumaní	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-ELN	 	2	Justicia y Paz Vol 5 #2																	
21	5	1992	Cauca	Padilla	Cabecera Municipal	Acciones Bélicas-Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #2																	
21	5	1992	Sucre	San Onofre		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
22	5	1992	Distrito Capital	Bogotá D.C.	Casco Urbano	Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
22	5	1992	Distrito Capital	Bogotá D.C.	Casco Urbano	Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
22	5	1992	Distrito Capital	Bogotá D.C.	Casco Urbano	Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
22	5	1992	Distrito Capital	Bogotá D.C.	Casco Urbano	Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
22	5	1992	Distrito Capital	Bogotá D.C.	Casco Urbano	Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
22	5	1992	Distrito Capital	Bogotá D.C.	Casco Urbano	Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
22	5	1992	Antioquia	Remedios		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
26	5	1992	Cesar	Curumaní		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
26	5	1992	Cesar	Pailitas		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
28	5	1992	Atlántico	Barranquilla		Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
28	5	1992	Antioquia	Zaragoza		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
28	5	1992	Santander	Barrancabermeja		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
29	5	1992	Antioquia	Segovia		Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
31	5	1992	Distrito Capital	Bogotá D.C.		Ataque a Propiedad	Entidad Bancaria	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
31	5	1992	Santander	Barrancabermeja		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
1	6	1992	Cesar	Pelaya		Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
2	6	1992	Antioquia	Medellín		Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
2	6	1992	Atlántico	Barranquilla		Ataque a Propiedad	Establecimiento comercial	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
3	6	1992	Bolívar	Cartagena		Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
3	6	1992	Antioquia	Medellín		Sabotaje	Infraestructura de Comunicaciones	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
5	6	1992	Antioquia	El Bagre		Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
6	6	1992	Antioquia	Rionegro	Casco Urbano	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
7	6	1992	Antioquia	El Bagre		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #2																	
7	6	1992	Nariño	Ricaurte		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #2																	
7	6	1992	Santander			Sabotaje	Infraestructura Energética (Oleoductos)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol 5 #2																	
8	6	1992	Santander	Ocaña	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
8	6	1992	Antioquia	Medellín		Sabotaje	Infraestructura de Comunicaciones	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
8	6	1992	Boyacá	Arcabuco	Zona Rural	Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #2																	
8	6	1992	Santander	Barrancabermeja		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
9	6	1992	Cesar	Pailitas		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
10	6	1992	Atlántico	Barranquilla	Cabecera Municipal	Atentado Terrorista	Consulado de España	Guerrilla	Guerrilla No Identificada			Justicia y Paz Vol 5 #2																	
10	6	1992	Norte de Santander			Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
13	6	1992	Cesar	Pelaya		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
13	6	1992	Cesar	Pelaya		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
14	6	1992	Antioquia	El Bagre		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
15	6	1992	Sucre	Ovejas		Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
15	6	1992	Santander	Barrancabermeja		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
16	6	1992	Norte de Santander	Tibú	Casco Urbano	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
16	6	1992	Antioquia	San Luis		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
16	6	1992	Bolívar	Magangué	Corregimiento Yati	Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #2																	
16	6	1992	Bolívar	Magangué	Corregimiento Camilo Torres	Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #2																	
16	6	1992	Santander	Puerto Wilches		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
16	6	1992	Norte de Santander	Tibú	Cabecera Municipal	Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
17	6	1992	Norte de Santander	Tibú	Cabecera Municipal	Ataque a Propiedad	Emisora Ecos de Tibú	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
18	6	1992	Santander	Lebrija		Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #2																	
21	6	1992	Arauca	Arauquita		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla No Identificada			Justicia y Paz Vol 5 #2																	
26	6	1992	Magdalena	Ciénaga		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
29	6	1992	Santander	Tona		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #2																	
29	6	1992	Santander	Bucaramanga	Cabecera Municipal	Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
2	7	1992	Cesar	Chiriguaná	Cabecera Municipal	Acciones Bélicas-Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #2																	
2	7	1992	Santander	Barrancabermeja		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
8	7	1992	Santander	Bucaramanga	Cabecera Municipal	Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #3																	
9	7	1992	Huila	Campoalegre	Zona Rural	Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
10	7	1992	Antioquia	Cocorná		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla No Identificada			Justicia y Paz Vol 5 #3																	
10	7	1992	Cesar	San Alberto		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
11	7	1992	Antioquia	Guatapé		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
11	7	1992	Antioquia	Remedios		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #3																	
14	7	1992	Bolívar	Magangué		Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #3																	
14	7	1992	Huila	Campoalegre		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
15	7	1992	Santander	Tona		Quema de Vehículos	Medios de Transporte	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #3																	
20	7	1992	Antioquia	Remedios		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #3																	
21	7	1992	Norte de Santander	El Carmen	Cabecera Municipal	Acciones Bélicas-Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-ELN																				
22	7	1992	Norte de Santander	Tibú		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
26	7	1992	Antioquia	Salazar		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
30	7	1992	Norte de Santander		 	Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
30	7	1992	Norte de Santander		 	Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
1	8	1992	Santander	Barrancabermeja	Casco Urbano	Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
1	8	1992	Antioquia	Zaragoza		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #3																	
2	8	1992	Córdoba			Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-FARC	 	1	Justicia y Paz Vol 5 #3																	
3	8	1992	Valle del Cauca	Cali		Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-ELN	3		Justicia y Paz Vol 5 #3																	
4	8	1992	Santander	Barrancabermeja		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-CGSB			Justicia y Paz Vol 5 #3																	
5	8	1992	Antioquia	Remedios		Sabotaje	Infraestructura Energética (Oleoductos)	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #3																	
6	8	1992	Bolívar	San Jacinto		Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla No Identificada			Justicia y Paz Vol 5 #3																	
9	8	1992	Santander	Barrancabermeja	Casco Urbano	Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #3																	
12	8	1992	Santander	Barrancabermeja	Casco Urbano	Quema de Vehículos	Medios de Transporte (Bus de Servicio Público) 	Guerrilla	Guerrilla-FARC			Justicia y Paz Vol 5 #3																	
12	8	1992	Santander	Girón		Quema de Vehículos	Medios de Transporte	Guerrilla	Guerrilla-ELN			Justicia y Paz Vol 5 #3																	
