Día	Mes	Año	Departamento	Municipio	Lugar de Ocurrencia	Tipo de Hecho	Tipo de Implicado (2)	Nº Víctimas	Combatiente	Población Civil	Fuente																									
25	10	1988	Antioquia	Cañasgordas	La Inspección de Juntas	Ataque a Objetivo Militar	Guerrilla-EPL	24	10	14	Boletín Informativo Justicia y Paz, Vol. 1, N° 4, Pág. 34																									
3	11	1988	Santander	Sabana de Torres	Puente Rojo	Combate	Policía Nacional-ELN	2	1	1	Boletín Informativo Justicia y Paz, Vol. 1, N° 4, Pág. 65																									
11	11	1988	Cauca	Bolívar		Combate	Ejército Nacional	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N° 4, Pág. 60																									
12	11	1988	Boyacá	El Cocuy		Incursión	Guerrilla-ELN	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N° 4, Pág. 60																									
12	11	1988	Boyacá	Guicán 		Incursión	Guerrilla-ELN	3	2	1	Boletín Informativo Justicia y Paz, Vol. 1, N° 4, Pág. 61																									
29	11	1988	Santander	Tona	Inspección de Berlín	Ataque a Objetivo Militar	Guerrilla-ELN	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N° 4, Pág. 62																									
30	11	1988	Bolívar	Morales	Corregimiento de Mico Ahumado 	Combate	Ejército Nacional-ELN	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N° 4, Pág. 62																									
27	12	1988	Bolívar	Simití 		Incursión	Guerrilla-FARC	7	4	3	Boletín Informativo Justicia y Paz, Vol. 1, N° 4, Pág. 87																									
12	1	1989	Santander	Tona	Corregimiento Berlín	Incursión	Guerrilla-ELN	2		2	Boletín Informativo Justicia y Paz, Vol. 2, N° 1, Pág. 38																									
15	1	1989	Santander	San Benito		Incursión	Guerrilla-FARC	3		3	Boletín Informativo Justicia y Paz, Vol. 2, N° 1, Pág. 38																									
29	1	1989	Sucre	Morroa		Combate	Ejército Nacional-ELN	1		1	Boletín Informativo Justicia y Paz, Vol. 2, N° 1, Pág. 38																									
4	2	1989	Santander	San Vicente de Chucurí		Combate	Ejército Nacional-ELN	1		1	Boletín Informativo Justicia y Paz, Vol. 2, N° 1, Pág. 57																									
5	2	1989	Antioquia	El Bagre		Incursión	Ejército Nacional	8		8	Boletín Informativo Justicia y Paz, Vol. 2, N° 1, Pág. 58																									
15	2	1989	Bolívar	Achí	Corregimiento de Tenche	Ataque a Objetivo Militar	Guerrilla-ELN	30	25	5	Boletín Informativo Justicia y Paz, Vol. 2, N° 1, Pág. 65																									
11	4	1989	César	Aguachica		Ataque a Objetivo Militar	Guerrilla-ELN	3	1	2	Boletín Informativo Justicia y Paz, Vol. 2, N° 2, Pág. 34																									
20	6	1989	Santander	Cerrito	Sitio "Paramo de Almorzadero"	Combate	Ejército Nacional-ELN	4	3	1	Boletín Informativo Justicia y Paz, Vol. 2, N° 2, Pág. 91																									
26	6	1989	Norte de Santander	Cachira 	IP La Vega	Incursión	Guerrilla-ELN	3	2	1	Boletín Informativo Justicia y Paz, Vol. 2, N° 2, Pág. 92																									
25	7	1989	Antioquia	Yondo	Vereda La Congoja	Bombardeo	Ejército Nacional	6		6	Boletín Justicia y Paz Vol. 2 No 3 Pp. 20																									
16	9	1989	Cundinamarca	Pacho	Sitio "Villa Gómez"	Combate	Ejército Nacional- Grupos Paramilitares	1		1	Boletín Informativo Justicia y Paz, Vol. 2, N° 3, Pág. 91																									
21	10	1989	Antioquia	Mutatá	Cabecera Municipal	Incursión	Guerrilla-FARC	2	1	1	Boletín Informativo Justicia y Paz, Vol. 2, N° 4, Pág. 34																									
16	11	1989	Santander	El Playón		Emboscada	Guerrilla-ELN	15	14	1	Boletín Informativo Justicia y Paz, Vol. 2, N° 4, Pág. 57																									
21	12	1989	Cauca	Bolívar		Incursión	Guerrilla-ELN	1		1	Boletín Informativo Justicia y Paz, Vol. 2, N° 4, Pág. 78																									
5	1	1990	César	El Copey		Combate	Ejército Nacional-ELN	2	1	1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 15																									
20	1	1990	Antioquia	Turbo	Cabecera Municipal-Barrio Santa Fe	Emboscada	Guerrilla-EPL	2	1	1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 17																									
25	1	1990	Sucre	Coloso		Incursión	Guerrilla-ELN	1		1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 17																									
31	1	1990	César	Curumaní	Vía a Valledupar	Emboscada	Guerrilla-ELN	4	2	2	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 18																									
7	2	1990	Bolívar	Simití 	Corregimiento San Blas	Combate	Ejército Nacional-ELN	4	3	1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 44																									
8	2	1990	Santander	El Carmen	Sitio Ranchogrande	Emboscada	Guerrilla-ELN	7	6	1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 45																									
15	2	1990	Huila	Colombia	Vereda Galilea	Combate	Ejército Nacional-FARC	4	3	1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 46																									
3	3	1990	César	San Diego	Caserío Los Brasiles	Combate	Ejército Nacional-ELN	1		1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 70																									
14	3	1990	Antioquia	Caldas	Vía al municipio Santa Bárbara	Ataque a Objetivo Militar	Guerrilla-EPL	1		1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 71																									
17	3	1990	Guainía	Inírida	Sitio Cano Conejo	Ataque a Objetivo Militar	Guerrilla-FARC	11	10	1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 71																									
17	3	1990	Magdalena	Plato	Vereda El Bajo	Combate	Ejército Nacional-ELN	2	1	1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 71																									
31	3	1990	César	Curumaní	Corregimiento San Sebastian	Ataque a Objetivo Militar	Guerrilla-ELN	5	4	1	Justicia y Paz. Boletín informativo Enero-Marzo 1990. Volumen 3, N°. 1.  N°41. Pp. 73																									
7	4	1990	Putumayo	Sibundoy		Incursión	Guerrilla-CGSB	5	3	2	Justicia y Paz. Boletín informativo Abril-Junio 1990. Volumen 3, N°. 2. Pp. 25																									
15	4	1990	Meta	San Juan de Arama	Vía al municipio Vista Hermosa	Emboscada	Guerrilla-FARC	2	1	1	Justicia y Paz. Boletín informativo Abril-Junio 1990. Volumen 3, N°. 2. Pp. 26																									
17	4	1990	Antioquia	Turbo	ID El Tres-Vía al municipio Necoclí	Emboscada	Guerrilla-ELN	2	1	1	Justicia y Paz. Boletín informativo Abril-Junio 1990. Volumen 3, N°. 2. Pp. 27																									
18	4	1990	Santander	El Playón	Vía a la Costa Atlántica	Emboscada	Guerrilla-ELN	2	1	1	Justicia y Paz. Boletín informativo Abril-Junio 1990. Volumen 3, N°. 2. Pp. 27																									
23	4	1990	Córdoba	Planeta Rica	Corregimiento Campo Alegre	Combate	Ejército Nacional-EPL	5	4	1	Justicia y Paz. Boletín informativo Abril-Junio 1990. Volumen 3, N°. 2. Pp. 28																									
27	5	1990	Huila	Baraya	ID La Batalla-Sitio La Batea	Emboscada	Guerrilla-FARC	11	7	4	Justicia y Paz. Boletín informativo Abril-Junio 1990. Volumen 3, N°. 2. Pp. 64																									
7	6	1990	Antioquia	Retiro		Ataque a Objetivo Militar	Grupo Armado No Identificado	3		3	Justicia y Paz. Boletín informativo Abril-Junio 1990. Volumen 3, N°. 2. Pp. 94																									
15	6	1990	Antioquia	Medellín	Cabecera Municipal-Barrio El Pedregal	Ataque a Objetivo Militar y Combate	Grupo Armado No Identificado	3		3	Justicia y Paz. Boletín informativo Abril-Junio 1990. Volumen 3, N°. 2. Pp. 95																									
29	6	1990	Córdoba	Valencia	Cabecera Municipal	Incursión	Guerrilla-CGSB	3		3	Justicia y Paz. Boletín informativo Abril-Junio 1990. Volumen 3, N°. 2. Pp. 96																									
9	7	1990	Norte de Santander	Arboledas		Combate	Ejército Nacional-ELN	1		1	Justicia y Paz. Boletín informativo Julio-Septiembre 1990. Volumen 3, N°. 3. Pp. 34																									
21	7	1990	Santander	Lebrija	ID Portugal	Ataque a Objetivo Militar, Emboscada y Combate	Guerrilla-ELN	6	3	3	Justicia y Paz. Boletín informativo Julio-Septiembre 1990. Volumen 3, N°. 3. Pp. 36																									
29	7	1990	Cauca	Caloto	Sitio Guadualito	Combate	Ejército Nacional-JEGA	3	2	1	Justicia y Paz. Boletín informativo Julio-Septiembre 1990. Volumen 3, N°. 3. Pp. 37																									
11	8	1990	Santander	El Playón	Barrio El Refugio	Emboscada	Guerrilla-CGSB	4	3	1	Justicia y Paz. Boletín informativo Julio-Septiembre 1990. Volumen 3, N°. 3. Pp. 60																									
31	8	1990	Chocó	El Carmen	Sitio La Nueve	Combate	Ejército Nacional-ELN	1		1	Justicia y Paz. Boletín informativo Julio-Septiembre 1990. Volumen 3, N°. 3. Pp. 61																									
10	9	1990	César	La Jagua de Ibirico	Cabecera Municipal	Incursión	Guerrilla-CGSB	5	3	2	Justicia y Paz. Boletín informativo Julio-Septiembre 1990. Volumen 3, N°. 3. Pp. 81																									
21	9	1990	Cundinamarca	Yacopí	Sitio Puente Tierra	Emboscada	Guerrilla-FARC	1		1	Justicia y Paz. Boletín informativo Julio-Septiembre 1990. Volumen 3, N°. 3. Pp. 83																									
23	9	1990	Chocó	Unguía	Corregimiento Santa María La Nueva	Incursión	Guerrilla-FARC	1		1	Justicia y Paz. Boletín informativo Julio-Septiembre 1990. Volumen 3, N°. 3. Pp. 83																									
10	10	1990	Córdoba	Montería	Sitio Las Parcelas	Combate	Ejército Nacional-FARC	1		1	Justicia y Paz. Boletín informativo Octubre-Diciembre 1990. Volumen 3, N°. 4. Pp. 18																									
18	10	1990	Santander	San Vicente de Chucurí	Sitio La Esmeralda	Emboscada	Ejército Nacional	3	2	1	Justicia y Paz. Boletín informativo Octubre-Diciembre 1990. Volumen 3, N°. 4. Pp. 19																									
12	11	1990	Huila	Algeciras	Vereda Piedra Sucia-Sitio Puente Las Juntas	Emboscada	Guerrilla-FARC	8	2	6	Justicia y Paz. Boletín informativo Octubre-Diciembre 1990. Volumen 3, N°. 4. Pp. 43																									
29	11	1990	Valle del Cauca	Buenaventura	Corregimiento Calima-Cabecera Municipal	Incursión	Guerrilla-FARC	2	1	1	Justicia y Paz. Boletín informativo Octubre-Diciembre 1990. Volumen 3, N°. 4. Pp. 46																									
10	12	1990	Santander	El Playón	Vía a Bucaramanga	Emboscada	Guerrilla-FARC	3	2	1	Justicia y Paz. Boletín informativo Octubre-Diciembre 1990. Volumen 3, N°. 4. Pp. 66																									
