Día	Mes	Año	Departamento	Municipio	Lugar de Ocurrencia	Tipo de Hecho	Tipo de Implicado (2)	Nº Víctimas	Combatiente	Población Civil	Fuente																									
4	6	1992	César	Aguachica		Ataque a Objetivo Militar	Guerrilla-CGSB	2		2	Boletin Informativo Justicia y Paz. Volumen 5, No 2. Abril - Junio 1992. Pp 103																									
10	7	1992	Sucre	Sampues	Caserío Cometa	Combate	Policía Nacional-CGSB	4	3	1	Boletin Informativo Justicia y Paz. Volumen 5, No 3. Julio - Septiembre  1992. Pp 29																									
11	7	1992	Antioquia	Salgar	Vía Urrao	Emboscada	Guerrilla-ELN	3	2	1	Boletin Informativo Justicia y Paz. Volumen 5, No 3. Julio - Septiembre  1992. Pp 29																									
11	7	1992	Antioquia	Medellín	Cabecera Municipal - Barrio Belén	Ataque a Objetivo Militar y Emboscada	Milicias Populares	3	1	2	Boletin Informativo Justicia y Paz. Volumen 5, No 3. Julio - Septiembre  1992. Pp 30																									
16	8	1992	Meta	Calvario 	Cabecera Municipal	Incursión	Guerrilla-FARC	8	6	2	Boletin Informativo Justicia y Paz. Volumen 5, No 3. Julio - Septiembre  1992. Pp 63																									
18	8	1992	Sucre	Caimito	Cabecera Municipal	Incursión	Guerrilla-ELN	2	1	1	Boletin Informativo Justicia y Paz. Volumen 5, No 3. Julio - Septiembre  1992. Pp 64																									
23	8	1992	Meta	Granada	IP Puerto Caldas	Emboscada	Guerrilla-FARC	4	1	3	Boletin Informativo Justicia y Paz. Volumen 5, No 3. Julio - Septiembre  1992. Pp 64																									
29	8	1992	Valle del Cauca	Florida	Zona Rural	Combate	Ejército Nacional-FARC	2	1	1	Boletin Informativo Justicia y Paz. Volumen 5, No 3. Julio - Septiembre  1992. Pp 65																									
29	9	1992	Nariño	El Charco 	Cabecera Municipal	Incursión	Guerrilla-FARC	2	1	1	Boletin Informativo Justicia y Paz. Volumen 5, No 3. Julio - Septiembre  1992. Pp 97																									
5	10	1992	Córdoba	Canalete		Emboscada	Ejército Nacional	4	3	1	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 24																									
9	10	1992	Córdoba	Canalete		Combate		1		1	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 25																									
20	10	1992	Valle del Cauca	Bugalagrande	IP Chorreras	Emboscada	Guerrilla-FARC	1		1	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 26																									
21	10	1992	Cundinamarca	Caqueza	Sitio El Tablón	Combate	Ejército Nacional-FARC	1		1	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 26																									
23	10	1992	César	Aguachica	Zona Rural	Combate	Ejército Nacional-ELN	1		1	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 27																									
25	10	1992	César	Pelaya	Cabecera Municipal	Incursión	Guerrilla-CGSB	3	1	2	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 27																									
26	10	1992	Antioquia	Arboletes	Cabecera Municipal	Incursión	Guerrilla-FARC	4	3	1	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 27																									
1	11	1992	Antioquia	Zaragoza		Hostigamiento	Guerrilla-CGSB	1		1	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 59																									
15	12	1992	Norte de Santander	Cauca	Cabecera Municipal	Ataque a Objetivo Militar	Guerrilla-ELN	1		1	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 101																									
26	12	1992	Putumayo	Orito	Zona Rural	Emboscada	Guerrilla-FARC	10	8	2	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 104																									
`15	12	1992	Santander	Bucaramanga 	Vía Matanza	Combate	Policía Nacional-ELN	3	1	2	Boletin Informativo Justicia y Paz. Volumen 5, No 4. Octubre - Diciembre   1992. Pp 102																									
5	1	1993	Arauca	Puerto Rondon	Cabecera Municipal	Incursión	Guerrilla-ELN	1		1	Boletin Informativo Justicia y Paz. Volumen 6, No 1. Enero  - Marzo   1993. Pp 38																									
19	1	1993	Amazonas	Leticia	IP Santa Sofía	Incursión	Guerrilla-FARC	5	2	3	Boletin Informativo Justicia y Paz. Volumen 6, No 1. Enero  - Marzo   1993. Pp 40																									
20	1	1993	La Guajira	Riohacha	IP La Palma	Combate	Infantería de Marina-FARC	1		1	Boletin Informativo Justicia y Paz. Volumen 6, No 1. Enero  - Marzo   1993. Pp 40																									
23	1	1993	Antioquia	Mutatá	Cabecera Municipal	Combate	Ejército Nacional-FARC	4	3	1	Boletin Informativo Justicia y Paz. Volumen 6, No 1. Enero  - Marzo   1993. Pp 41																									
6	2	1993	Antioquia	Chigorodó	Sitio El Retén	Combate	Policía Nacional-FARC	1		1	Boletin Informativo Justicia y Paz. Volumen 6, No 1. Enero  - Marzo   1993. Pp 73																									
9	2	1993	Meta	Acacias	Cabecera Municipal	Emboscada	Guerrilla-FARC	2	1	1	Boletin Informativo Justicia y Paz. Volumen 6, No 1. Enero  - Marzo   1993. Pp 74																									
27	2	1993	Antioquia	Segovia	Zona Rural	Combate	Ejército Nacional	6	1	5	Boletin Informativo Justicia y Paz. Volumen 6, No 1. Enero  - Marzo   1993. Pp 77																									
1	4	1993	Bolívar	Cartagena 	Cabecera Municipal	Ataque a Objetivo Militar	Guerrilla No Identificada	1		1	Boletin Informativo Justicia y Paz. Volumen 6, No 2. Abril  - Junio   1993. Pp 39																									
24	4	1993	Santander	Barrancabermeja	Vereda Perales	Emboscada	Guerrilla-ELN	4	2	2	Boletin Informativo Justicia y Paz. Volumen 6, No 2. Abril  - Junio   1993. Pp 42																									
9	5	1993	Antioquia	Arboletes		Emboscada	Guerrilla-EPL	5	3	2	Boletin Informativo Justicia y Paz. Volumen 6, No 2. Abril  - Junio   1993. Pp 69																									
9	5	1993	Huila	La Plata	IP Santa Leticia	Combate	Ejército Nacional-FARC	2		2	Boletin Informativo Justicia y Paz. Volumen 6, No 2. Abril  - Junio   1993. Pp 69																									
27	5	1993	Antioquia	Apartadó	Zona Rural	Combate	Policía Nacional-FARC	1		1	Boletin Informativo Justicia y Paz. Volumen 6, No 2. Abril  - Junio   1993. Pp 71																									
29	5	1993	César	El Copey		Combate	Guerrilla-ELN	2	1	1	Boletin Informativo Justicia y Paz. Volumen 6, No 2. Abril  - Junio   1993. Pp 71																									
27	6	1993	Antioquia	Anorí	Sitio Puente Acacías	Emboscada	Guerrilla-FARC	4	2	2	Boletin Informativo Justicia y Paz. Volumen 6, No 2. Abril  - Junio   1993. Pp 101																									
3	7	1993	Santander	Lebrija		Combate	Ejército Nacional-ELN	3	2	1	Boletin Informativo Justicia y Paz. Volumen 6, No 3.  Julio - Septiembre   1993. Pp 27																									
8	8	1993	Santander	Encino	Vereda Poima	Combate	Policía Nacional-FARC	2		2	Boletin Informativo Justicia y Paz. Volumen 6, No 3.  Julio - Septiembre   1993. Pp 55																									
23	8	1993	Antioquia	Yarumal	Vereda El Martiñal	Combate	Policía Nacional-FARC	3	2	1	Boletin Informativo Justicia y Paz. Volumen 6, No 3.  Julio - Septiembre   1993. Pp 57																									
12	9	1993	Santander	Matanza	Vereda El Paujil	Combate	Ejército Nacional-ELN	3	2	1	Boletin Informativo Justicia y Paz. Volumen 6, No 3.  Julio - Septiembre   1993. Pp 91																									
17	9	1993	Antioquia	San Luis	Sitio Alto Monteloro	Ataque a Objetivo Militar	Guerrilla No Identificada	1		1	Boletin Informativo Justicia y Paz. Volumen 6, No 3.  Julio - Septiembre   1993. Pp 92																									
10	10	1993	Caquetá	Solano	Vereda Betania	Combate	Ejército Nacional-FARC	2		2	Boletin Informativo Justicia y Paz. Volumen 6, No 4.  Octubre - Diciembre   1993. Pp 29																									
19	10	1993	Arauca	Saravena	Vereda El Porvenir	Emboscada	Guerrilla-ELN	4	2	2	Boletin Informativo Justicia y Paz. Volumen 6, No 4.  Octubre - Diciembre   1993. Pp 29																									
28	10	1993	Antioquia	Amalfí	Cabecera Municipal	Incursión	Guerrilla-ELN	7	6	1	Boletín Justicia y Paz Vol. 6 No 4 Pp. 30																									
4	11	1993	Antioquia	Turbo	Vereda San Jorge	Combate	Ejército Nacional	1		1	Boletin Informativo Justicia y Paz. Volumen 6, No 4.  Octubre - Diciembre   1993. Pp 65																									
24	11	1993	Caldas	Manizales	Zona Rural	Combate	Ejército Nacional-Guerrilla No Identificada	6		6	Boletin Informativo Justicia y Paz. Volumen 6, No 4.  Octubre - Diciembre   1993. Pp 67																									
30	11	1993	Bolívar	San Jacinto	Sitio Cerro del Venado	Combate	Infantería de Marina-FARC,ELN y EPL	8	6	2	Boletin Informativo Justicia y Paz. Volumen 6, No 4.  Octubre - Diciembre   1993. Pp 68																									
1	1	1994	Cauca	Piendamó		Emboscada	Guerrilla-ELN	3	2	1	Boletin Informativo Justicia y Paz, Volumen 7 #1. Pp. 37 																									
24	1	1994	Norte de Santander	Ocaña	Vereda Trapiches, vía Ocaña-El Carmen	Ataque a Objetivo Militar	Grupo Armado No Identificado	4	3	1	Boletin Informativo Justicia y Paz, Volumen 7 #1. Pp. 39																									
31	1	1994	César	El Copey		Ataque a Objetivo Militar	Guerrilla-ELN	1		1	Boletin Informativo Justicia y Paz, Volumen 7 #1. Pp. 39 																									
16	2	1994	Antioquia	Yondo	Sitio La Curba	Emboscada	Guerrilla-FARC	3	1	2	Boletin Informativo Justicia y Paz, Volumen 7 #1. Pp. 67																									
2	3	1994	Huila	Isnos	Veredas Paloquemao y El Mármol	Combate	Ejército Nacional-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 7 #1. Pp. 96																									
7	3	1994	Tolima	Rovira	Corregimiento Riomanso	Combate	Ejército Nacional-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 7 #1. Pp. 97																									
19	4	1994	Norte de Santander	Hacari		Combate	Ejército Nacional-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 7 #2. Pp. 39																									
27	5	1994	Caquetá	San Vicente del Caguán	IP Guacamayas	Combate	Ejército Nacional-FARC	5	4	1	Boletin Informativo Justicia y Paz, Volumen 7 #2. Pp. 69																									
12	6	1994	Cauca	Corinto	Cabecera Municipal	Emboscada	Guerrilla-FARC	1	1	1	Boletin Informativo Justicia y Paz, Volumen 7 #2. Pp. 103																									
19	7	1994	Meta	Villavicencio		Emboscada	Guerrilla-FARC	2	1	1	Boletin Informativo Justicia y Paz, Volumen 7 #3. Pp. 48																									
20	7	1994	Tolima	Roncesvalles		Incursión	Guerrilla-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 7 #3. Pp. 49																									
20	7	1994	Huila	Aipe	ID Pata	Combate	Ejército Nacional-FARC	3	3	1	Boletin Informativo Justicia y Paz, Volumen 7 #3. Pp. 49																									
22	7	1994	Distrito Capital	Bogotá	Cabecera Municipal - Barrios Vista Hermosa, San Joaquin del Vaticano, La Estrella y la Candelaria	Ataque a Objetivo Militar	Guerrilla-FARC	3	2	1	Boletin Informativo Justicia y Paz, Volumen 7 #3. Pp. 49																									
5	8	1994	Cauca	Piendamó		Incursión	Guerrilla-FARC	3	1	2	Boletin Informativo Justicia y Paz, Volumen 7 #3. Pp. 80																									
13	8	1994	Antioquia	Tamesis	Vereda Manzanares, Inspección epartamental San Pablo	Combate	Policía Nacional-Grupo Armado No Identificado	1		1	Boletin Informativo Justicia y Paz, Volumen 7 #3. Pp. 81																									
16	9	1994	Santander	Puerto Wilches		Combate	 Ejército Nacional-ELN	2	1	1	Boletin Informativo Justicia y Paz, Volumen 7 #3. Pp. 117																									
24	10	1994	Valle del Cauca	Dagua	Cabecera Municipal - Barrio La Gran Colombia	Ataque a Objetivo Militar	Grupo Armado No Identificado	1		1	Boletin Informativo Justicia y Paz, Volumen 7 #4. Pp. 44																									
29	10	1994	Santander	Sabana de Torres	ID Magará	Emboscada	Guerrilla-FARC	7	6	1	Boletin Informativo Justicia y Paz, Volumen 7 #4. Pp. 44																									
29	10	1994	Bolívar	El Carmen de Bolívar	Sitio La Casona, corregimiento Caracolí Grande	Emboscada	Ejército Nacional-FARC	5		5	Boletin Informativo Justicia y Paz, Volumen 7 #4. Pp. 44																									
12	11	1994	Cauca	Puracé		Emboscada	Guerrilla-FARC	13	11	2	Boletin Informativo Justicia y Paz, Volumen 7 #4. Pp. 74																									
14	11	1994	Guaviare	El Retorno	Zona Rural	Combate	Ejército Nacional-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 7 #4. Pp. 75																									
13	1	1995	Tolima	Planadas	Cabecera Municipal	Incursión	Guerrilla-FARC	7	4	3	Boletin Justicia y Paz Vol. 8  No 1. Pp. 51																									
15	1	1995	La Guajira	Fonseca		Combate	Ejército Nacional-FARC	4	3	1	Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 43																									
24	1	1995	César	Aguachica	 Vereda Aguas Claras	Emboscada	Guerrilla-ELN	2	1	1	Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 44																									
1	2	1995	Boyacá	Maripi	ID Guayabal	Combate	Ejército Nacional-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 75																									
6	2	1995	Caldas	La Merced	Zona Rural, Sitio El Yarumo	Combate	Ejército Nacional-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 75																									
16	2	1995	Santander	Matanza	Vereda la Plazuela	Combate	Ejército Nacional-ELN	3	2	1	Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 77																									
5	3	1995	Antioquia	Ituango	Cabecera Municipal	Incursión	Guerrilla-FARC	7	1	6	Boletin Justicia y Paz Vol. 8 No 1. Pp. 113																									
18	5	1995	Cundinamarca	Ubaque	Cabecera Municipal	Incursión	Guerrilla-FARC	3	2	1	Boletin Justicia y Paz Vol. 8 No 2. Pp. 92																									
18	5	1995	César	Valledupar	Corregimiento Mariangola	Combate	 Ejército Nacional-ELN	1		1	Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 81																									
28	5	1995	Sucre	Chalán	Sitio La Despensa	Ataque a Objetivo Militar	Guerrilla-FARC	2	1	1	Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 82																									
31	5	1995	Antioquia	Zaragoza	Cabecera Municipal - Barrio San Gregorio	Combate	Ejército Nacional-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 83																									
6	6	1995	Antioquia	Apartadó		Ataque a Objetivo Militar	Guerrilla-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 110																									
11	6	1995	Antioquia	Nariño	Sitio La Iguana	Emboscada	Guerrilla-FARC	3	2	1	Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 110																									
4	8	1995	Cundinamarca	Fusagasuga	ID El Triunfo-Boqueron	Emboscada	Guerrilla-FARC	5	4	1	Boletin Informativo Justicia y Paz, Volumen 8 #3. Pp. 71																									
7	8	1995	Guaviare	Miraflores	Cabecera Municipal	Incursión	Guerrilla-FARC	16	9	7	Boletin Informativo Justicia y Paz Vol. 8 No 3. Pp. 80																									
9	8	1995	Antioquia	Sonsón	ID San Miguel	Combate	Ejército Nacional-FARC	2	1	1	Boletin Informativo Justicia y Paz, Volumen 8 #3. Pp. 72																									
10	8	1995	Cauca	Totoro		Incursión	Guerrilla-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 8 #3. Pp. 72																									
28	8	1995	Bolívar	El Carmen de Bolívar	Sitio Balsamo	Emboscada	Guerrilla-FARC	3	1	2	Boletin Informativo Justicia y Paz, Volumen 8 #3. Pp. 74																									
16	10	1995	Caldas	Pensilvania	ID Pueblonuevo	Incursión	Guerrilla-FARC	2	1	1	Boletin Informativo Justicia y Paz, Volumen 8 #4. Pp. 37																									
29	11	1995	Boyacá	Gameza		Incursión	Guerrilla-FARC	1		1	Boletin Informativo Justicia y Paz, Volumen 8 #4. Pp. 64																									
25	12	1995	Cundinamarca	Une		Incursión	Guerrilla-FARC	2	1	1	Boletin Informativo Justicia y Paz, Volumen 8 #4. Pp. 86																									
10	1	1996	Norte de Santander	Toledo	Cabecera Municipal	Incursion	Guerrilla-ELN	2	1	1	Boletin Informativo Justicia y Paz, Volumen 9 #1. Pp. 24																									
16	1	1996	Meta	Mapiripán	Cabecera Municipal	Incursión	Guerrilla-FARC	2	1	1	Boletin Informativo Justicia y Paz, Volumen 9 #1. Pp. 25																									
23	1	1996	Tolima	Dolores	Cabecera Municipal	Incursión	Guerrilla-FARC	1	 	1	Boletin Informativo Justicia y Paz, Volumen 9 #1. Pp. 17																									
25	4	1996	Caquetá	San José de la Fragua	Cabecera Municipal	Incursión	Guerrilla-FARC	7	6	1	Boletin Informativo Justicia y Paz, Volumen 9 #1. Pp. 35																									
1	5	1996	Antioquia	Segovia	Cabecera Municipal	Incursión	Guerrilla-ELN	1		1	Boletin Justicia y Paz Vol. 9  No 2. Pp. 59																									
4	8	1996	Arauca	Arauquita		Ataque a Objetivo Militar	Guerrilla-ELN	8	7	1	Noche y Niebla # 1. Pp. 96																									
29	8	1996	Cundinamarca	Jerusalén		Ataque a Objetivo Militar	Guerrilla-FARC	2	1	1	Noche y Niebla # 1. Pp. 97																									
30	8	1996	Distrito Capital	Bogotá	Barrio Los Libertadores	Ataque a Objetivo Militar	Guerrilla-FARC	5	4	1	Noche y Niebla # 1. Pp. 97																									
4	9	1996	Casanare	Aguazul		Emboscada	Guerrilla-FARC	4	2	2	Noche y Niebla # 1. Pp. 105																									
6	9	1996	Guaviare	San José del Guaviare	Vereda La Carpa	Ataque a Objetivo Militar	Guerrilla-FARC	25	24	1	Noche y Niebla # 1. Pp. 108																									
13	9	1996	Antioquia	Medellín		Ataque a Objetivo Militar	Grupo Armado No Identificado	1		1	Noche y Niebla # 1. Pp. 109																									
17	9	1996	Antioquia	Dabeiba	Vereda Chambucal	Combate	Ejército Nacional-FARC	1		1	Noche y Niebla # 1. Pp. 104																									
20	9	1996	Antioquia	San Luis		Combate	Ejército Nacional-ELN	1		1	Noche y Niebla # 1. Pp. 104																									
27	9	1996	Norte de Santander	El Zulia		Combate	Ejército Nacional-ELN	2	1	1	Noche y Niebla # 1. Pp. 105																									
21	10	1996	Magdalena	Fundación	Zona Rural	Combate	Ejército Nacional-ELN	1		1	Noche y Niebla # 2. Pp. 126																									
5	11	1996	Antioquia	Apartadó	Cabecera Municipal	Combate	Policía Nacional-Guerrilla No Identificada	3	2	1	Noche y Niebla # 2. Pp. 130																									
11	12	1996	Antioquia	Toledo	Cabecera Municipal	Combate	Policía Nacional-FARC	1		1	Noche y Niebla # 2. Pp. 135																									
12	1	1997	Cauca	Caloto	Cabecera Municipal	Incursión	Guerrilla-FARC	1		1	Noche y Niebla # 3. Pp. 128																									
13	1	1997	Magdalena	Fundación	Corregimiento Santa Rosa de Lima	Incursión	Guerrilla-FARC	3	1	2	Noche y Niebla # 3. Pp. 128																									
20	1	1997	César	Valledupar	Corregimiento Valencia Jesús - Vereda Cimarrón	Combate	Ejército Nacional-ELN	2	1	1	Noche y Niebla #3. Pp. 130																									
21	1	1997	Antioquia	Argelia	Cabecera Municipal	Incursión	Policía Nacional-FARC	2	1	1	Noche y Niebla # 3. Pp. 128																									
2	2	1997	Antioquia	El Bagre		Ataque a Objetivo Militar y Combate	Ejército Nacional-ELN	2	1	1	Noche y Niebla # 3. Pp. 139																									
6	2	1997	Boyacá	Cubará	Cabecera Municipal	Incursión	Guerrilla-ELN	7	5	2	Noche y Niebla # 3. Pp. 135																									
21	2	1997	Cundinamarca 	El Colegio	Cabecera Municipal	Ataque a Objetivo Militar	Guerrilla-FARC	2		2	Noche y Niebla # 3. Pp. 140																									
4	3	1997	Chocó	Riosucio	Zona Rural	Combate	Ejército Nacional-FARC	6	4	2	Noche y Niebla # 3. Pp. 144																									
17	3	1997	Santander	Barrancabermeja	Cabecera Municipal	Ataque a Objetivo Militar	Guerrilla-ELN	1		1	Noche y Niebla # 3. Pp. 149																									
9	5	1997	Cundinamarca	Venecia		Incursión	Guerrilla-FARC	3	1	2	Noche y Niebla # 4. Pp. 141																									
9	5	1997	Cundinamarca	Venecia	Cabecera Municipal	Incursión	Guerrilla-FARC	2	1	1	Noche y Niebla # 4. Pp. 141																									
21	5	1997	Tolima	Prado	IP Montoso - Vereda Altagracia	Combate	Ejército Nacional-FARC	2		2	Noche y Niebla # 4. Pp. 143																									
4	6	1997	Cauca	Silvia	Cabecera Municipal	Incursión	Guerrilla-FARC	1		1	Noche y Niebla # 4. Pp. 147																									
6	6	1997	Nariño	Barbacoas	Cabecera Municipal	Incursión	Guerrilla-FARC	6	4	2	Noche y Niebla # 4. Pp. 147																									
21	6	1997	Huila 	El Hobo	Zona Rural	Emboscada	Guerrilla-FARC	4		4	Noche y Niebla # 4. Pp. 150																									
3	7	1997	Magdalena	Ciénaga	Corregimiento Tucurinca	Emboscada	Guerrilla-ELN	4	2	2	Noche y Niebla # 5. Pp. 144																									
18	7	1997	Cesar	La Paz	Cabecera Municipal	Incursión	Guerrilla-ELN	1		1	Noche y Niebla # 5. Pp. 148																									
19	7	1997	Meta	San Martín		Combate	Ejército Nacional-FARC	1		1	Noche y Niebla # 5. Pp. 143																									
1	8	1997	Caquetá	Valparaiso	Cabecera Municipal	Incursión	Guerrilla-FARC	1		1	Noche y Niebla # 5. Pp. 151																									
10	8	1997	Bolívar	San Pablo	Zona Rural	Combate	Ejército Nacional-Guerrilla No Identificada	4	2	2	Noche y Niebla # 5. Pp. 152 																									
15	8	1997	Antioquia	Mutatá		Combate	Ejército Nacional-FARC	5	4	1	Noche y Niebla # 5. Pp. 153																									
11	9	1997	Boyacá	Pajarito	Cabecera Municipal	Incursión	Guerrilla-FARC	10	7	3	Noche y Niebla # 5. Pp. 159																									
12	9	1997	Cauca	Santander de Quilichao	IP Mondomo	Combate	Ejército Nacional-FARC	4	3	1	Noche y Niebla # 5. Pp. 160																									
24	9	1997	Meta	La Uribe	Cabecera Municipal	Incursión	Guerrilla-FARC	3	2	1	Noche y Niebla # 5. Pp. 164																									
13	10	1997	Caquetá	Puerto Rico	Cabecera Municipal	Emboscada	Guerrilla-FARC	1		1	Noche y Niebla # 6. Pp. 143 - 144																									
18	10	1997	Cauca 	Balboa	Cabecera Municipal	Incursión	Guerrilla-FARC	1		1	Noche y Niebla # 6. Pp. 140																									
26	10	1997	Cundinamarca	Gutierrez		Combate	Ejército Nacional-FARC	1		1	Noche y Niebla # 6. Pp. 142																									
16	11	1997	Meta	Mesetas	Cabecera Municipal	Incursión	Guerrilla-FARC	1		1	Noche y Niebla # 6. Pp. 149																									
17	11	1997	Cauca	Totoro	Cabecera Municipal	Incursión	Guerrilla-FARC	4	2	2	Noche y Niebla # 6. Pp. 149																									
19	11	1997	Quindío 	Calarcá	IP Departamental La Bella	Ataque a Objetivo Militar	Guerrilla-FARC	1		1	Noche y Niebla # 6. Pp. 152																									
2	12	1997	Bolívar	San Jacinto	Sitio La Flecha	Emboscada	Guerrilla-FARC	5	4	1	Noche y Niebla # 6 Pp. 156																									
11	12	1997	Santander	Guaca	Cabecera Municipal	Incursión	Guerrilla No Identificada	3	2	1	Noche y Niebla # 6. Pp. 153																									
11	12	1997	Santander	Mogotes	Cabecera Municipal	Incursión	Guerrilla-ELN	6	3	3	Noche y Niebla # 6. Pp. 153																									
15	12	1997	Meta	Mesetas	Cabecera Municipal	Incursión	Guerrilla-FARC	2	1	1	Noche y Niebla # 6. Pp. 153																									
16	12	1997	Norte de Santander	San Calixto	Cabecera Municipal	Incursión	Guerrilla-ELN y EPL	1		1	Noche y Niebla # 6. Pp. 153																									
8	1	1998	Magdalena	Ariguaní		Ataque a Objetivo Militar y Combate	Guerrilla-FARC	5	3	2	Noche y Niebla # 7 y 8 Pp. 24																									
2	2	1998	Magdalena	Ciénaga	Vía a Fundación - Sitio El Portón de Morgan	Combate	Ejército Nacional-FARC	2	1	1	Noche y Niebla # 7 y 8 Pp. 38																									
7	3	1998	Norte de Santander	Sardinata	IP Las Mercedes	Hostigamiento	Guerrilla-FARC	1		1	Noche y Niebla # 7 y 8 Pp. 58																									
8	3	1998	Antioquia	Angostura		Combate	Policía Nacional-FARC	2		2	Noche y Niebla # 7 y 8 Pp. 59																									
10	3	1998	Cundinamarca	La Peña	Sitio Cerro La Esquina	Combate	Guerrilla-FARC	4	1	3	Noche y Niebla # 7 y 8 Pp. 69																									
12	3	1998	Arauca	Arauquita	IP El Troncal	Combate	 Ejército Nacional-FARC	1		1	Noche y Niebla # 7 y 8 Pp. 71																									
25	3	1998	Meta	Puerto Lleras		Ataque a Objetivo Militar e Incursión	Guerrilla-FARC	6	4	2	Noche y Niebla # 7 y 8 Pp. 79 y 80																									
3	4	1998	Tolima	Ataco	IP Santiago Pérez - Vereda Las Blancas	Combate	Grupos Paramilitares-FARC	1		1	Noche y Niebla # 7 y 8 Pp. 90																									
13	4	1998	Arauca	Cravo Norte		Incursión	Guerrilla-FARC	2		2	Noche y Niebla # 7 y 8 Pp. 96																									
13	4	1998	Arauca	Saravena		Ataque a Objetivo Militar	Guerrilla-FARC y ELN	1		1	Noche y Niebla # 7 y 8 Pp. 96																									
23	4	1998	Antioquia	San Rafael		Combate	Grupos Paramilitares-FARC	3		3	Noche y Niebla # 7 y 8 Pp. 103																									
1	5	1998	Arauca	Arauquita		Emboscada	Guerrilla-FARC	1		1	Noche y Niebla # 7 y 8 Pp. 109																									
9	5	1998	Caldas	Riosucio	Corregimiento San Lorenzo	Incursión	Guerrilla-FARC	2	1	1	Noche y Niebla # 7 y 8 Pp. 113																									
23	5	1998	Arauca	Arauquita	Zona Rural	Combate	Ejército Nacional-FARC	1		1	Noche y Niebla # 7 y 8 Pp. 125																									
31	5	1998	Norte de Santander	El Tarra	Cabecera Municipal	Hostigamiento	Guerrilla-ELN	1		1	Noche y Niebla # 7 y 8 Pp. 134																									
1	7	1998	Guaviare	El Retorno	Cabecera Municipal	Ataque a Objetivo Militar	Guerrilla-FARC	2		2	Noche y Niebla # 9 Pp. 25																									
5	7	1998	Magdalena	Ciénaga	sector del Cerro Azul - Jurisdicción Sevilla	Hostigamiento	Ejército Nacional-FARC	2	1	1	Noche y Niebla # 9 Pp. 29																									
6	7	1998	Meta	Puerto Gaitan	I.P. Tilava	Incursión	Grupos Paramilitares	5		5	Noche y Niebla # 9  Pp. 30																									
10	7	1998	Bolívar	Simití 	Vía al corregimiento Cerro Burgos	Combate	Ejército Nacional-ELN	3	1	2	Noche y Niebla # 9  Pp. 32																									
28	7	1998	Santander	Barrancabermeja	Cabecera Municipal	Ataque a Objetivo Militar	Guerrilla-ELN	2	1	1	Noche y Niebla # 9  Pp. 45																									
3	8	1998	Magdalena	Santa Marta	Corregimiento Minca	Incursión	Guerrilla-ELN	1		1	Noche y Niebla # 9 Pp. 54																									
3	8	1998	Risaralda	Mistrato	Corregimiento San Antonio de Chamí	Incursión	Guerrilla-FARC	9	8	1	 Noche y Niebla # 9 Pp. 52																									
3	8	1998	Antioquia	Mutatá	Corregimiento de Pavarandó Grande	Combate	Ejército Nacional-FARC	36	35	1	Noche y Niebla # 9 Pp. 52																									
23	8	1998	Santander	Barrancabermeja	Cabecera Municipal - Barrio Boston	Combate	Ejército Nacional-EPL	2	1	1	Noche y Niebla # 9 Pp. 67																									
8	9	1998	Antioquia	San Luis	Corregimiento MonteLoro (La Josefina) - Sitio Alto de la Cruz	Combate	Grupos Paramilitares-FARC	1		1	Noche y Niebla # 9 Pp. 83																									
